osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,check_date,defibrillator:location,description,email,emergency,emergency:phone,id,indoor,latitude,level,longitude,name,note,opening_hours,operator,operator:email,phone,ref,source,website,wheelchair,wikimedia_commons
2822051060,node,47.1815007,8.5795759,,,,,,,,Im Pflegezentrum am Empfang,während Öffnungszeiten verfügbar,,defibrillator,144,node/2822051060,yes,,,,,,,Pflegezentrum Sonnhalde nur bei Betriebszeit,,,,,,,
4716015142,node,47.2006153,8.440947,,,,,,,,Beim Fahrradunterstand beim Hauptparkplatz,,,defibrillator,144,node/4716015142,no,,0,,,,24/7,Kanton Zug,,,,,,yes,File:Defi_lorzenstrasse_cham.jpg
4776728635,node,47.1803206,8.4588047,yes,,,,,,,Neben dem Eingang des Polizeipostens.,,,defibrillator,144,node/4776728635,no,,0,,Polizeidienststelle Cham,,24/7,Kanton Zug,,,,,,yes,
4804424768,node,47.1862791,8.4641722,,,,,,,,"Landwirtschaftliches Berufs- und Bildungszentrum, Aussenwand neben Eingang",,,defibrillator,144,node/4804424768,,,0,,,,24/7,Kanton Zug,,,,,,,
5103296769,node,47.1724013,8.5173405,,,,,,,,Bei der Metalli Apotheke,,,defibrillator,144,node/5103296769,,,0,,,,Mo-Fr 08:00-19:00; Sa 08:00-17:00,,,,,,,,
5706235894,node,47.1809093,8.5219527,,,,,,,,Neben Portierloge,während Öffnungszeiten verfügbar,,defibrillator,144,node/5706235894,no,,,,,,Mo-Fr 07:00-18:00,V-ZUG AG,,,,,,,
6532007589,node,47.1768406,8.5922834,no,,,,,,,TLF Feuerwehr,nur über Notruf erreichbar,,defibrillator,144,node/6532007589,yes,,,,,,,Gemeinde Menzingen,,+41 41 757 22 03,,,,,
6532019400,node,47.1795132,8.5929434,yes,,,,,,,Ochsenmatt Turnhallen / Haupteingang links,,,defibrillator,144,node/6532019400,no,,,,,,24/7,Gemeinde Menzingen,,+41 41 757 22 03,,,,,
6885092109,node,47.191918,8.4784173,,,,,,,,Kundendienst Migros,,,defibrillator,144,node/6885092109,,,1,,,,,,,,,,,,
7006201377,node,47.1665279,8.5151587,,,,,,,,unklar?,,,defibrillator,144,node/7006201377,no,,0,,,,24/7,Kanton Zug,,,,,,,
7074439334,node,47.1324409,8.559856,yes,,,,,,,Haupt-Eingang Schützenhaus,,,defibrillator,144,node/7074439334,no,,,,,,24/7,Einwohnergemeinde Unterägeri,,,,,,,
7120020585,node,47.1731672,8.5180399,yes,,,,,,,Im Seitenflügel vor der Migros an einem Stütrpfeiler,,,defibrillator,144,node/7120020585,yes,,0,,,,,,,,,,,yes,
7255923210,node,47.1812445,8.4587432,,,,,,,,An der Hauswand neben dem Aussen-Bankomaten.,,,defibrillator,144,node/7255923210,no,,0,,Raiffeisenbank Cham-Steinhausen,,24/7,,,,,,,,
7568739427,node,47.1595384,8.5177863,yes,,,,,,,in der Schule,,,defibrillator,144,node/7568739427,no,,,,,,24/7,Kanton Zug,,,,,,,
7568739428,node,47.1598364,8.5155999,yes,,,,,,,Museum für Urgeschichte,,,defibrillator,144,node/7568739428,no,,,,,,24/7,Kanton Zug,,,,,,,
7568739429,node,47.1676399,8.5147738,yes,,,,,,,links vom Gebäude beim Velounterstand,,,defibrillator,144,node/7568739429,yes,,,,,,24/7,Kanton Zug,,,,,,,
7568739431,node,47.1643245,8.5165501,yes,,,,,,,nach Velounterstand rechts an Stützmauer,,,defibrillator,144,node/7568739431,yes,,,,,,24/7,Kanton Zug,,,,,,,
7568739432,node,47.1601087,8.5154761,yes,,,,,,,Schulgebäude Athene,,,defibrillator,144,node/7568739432,no,,,,,,24/7,Kanton Zug,,,,,,,
7568739433,node,47.1698555,8.5159311,yes,,,,,,,,,,defibrillator,144,node/7568739433,no,,0,,,,24/7,Kanton Zug,,,,,,,
7568739434,node,47.1733774,8.5155839,no,,,,,,,"*Aktuell nicht verfügbar!*

Bahnhof neben Gleis 3 Lift","*Aktuell nicht verfügbar!*

EG, Ausgang Richtung Metalli beim Lift zum Gleis 3",,defibrillator,144,node/7568739434,no,,,,,,24/7,,,,,,,limited,
7568739435,node,47.172484,8.516096,yes,,,,,,,Amt für Berufsberatung,,,defibrillator,144,node/7568739435,no,,0,,,,24/7,Kanton Zug,,,,,,yes,
7568739436,node,47.1789016,8.5187237,yes,,,,,,,Gewerblich-Industrielles Bildungszentrum,,,defibrillator,144,node/7568739436,no,,,,,,24/7,"Hochbauamt, Kanton Zug",,+41 41 728 54 00,,,,,
7568739437,node,47.1607774,8.5134085,yes,,,,,,,Verwaltungsgebäude 1,,,defibrillator,144,node/7568739437,,,,,,,24/7,Kanton Zug,,,,,,,
7568739438,node,47.1671447,8.5199685,yes,,,,,,,Verwaltungsgebäude 1,,,defibrillator,144,node/7568739438,no,,,,,,24/7,Kanton Zug,,,,,,no,
7568739439,node,47.1734364,8.509178,yes,,,,,,,"Eingang Rettungsdienst Zug, ZVB-Haus",,,defibrillator,144,node/7568739439,yes,,0,,,,24/7,Rettungsdienst Zug,,+41 41 728 46 60,,,,limited,
7568739440,node,47.173513,8.510094,yes,,,,,,,"im Windfang, öffentlich zugänglich",,,defibrillator,144,node/7568739440,no,,0,,,,24/7,Kanton Zug,,,,,,,
7568739441,node,47.1751886,8.5110301,yes,,,,,,,Schulhaus KBZ,,,defibrillator,144,node/7568739441,no,,,,,,24/7,Kanton Zug,,,,,,,
7568739442,node,47.1743179,8.5107037,yes,,,,,,,Verwaltungsgebäude 1 Links Neben Haupteingang,,,defibrillator,144,node/7568739442,no,,,,,,24/7,Kanton Zug,,,,,,,
7568751056,node,47.19163,8.4757724,yes,,,,,,,Strassenverkehrsamt,Aussenwand rechts vom Haupteingang,,defibrillator,144,node/7568751056,no,,,,,,24/7,Kanton Zug,,,,,,,
7568751057,node,47.1962776,8.4839988,yes,,,,,,,Polizeidienststelle,,,defibrillator,144,node/7568751057,no,,,,,,24/7,Kanton Zug,,,,,,,
7579637108,node,47.1943744,8.5281231,yes,,,,,,2025-07-11,In Polizeidienststelle,,,defibrillator,144,node/7579637108,no,,,,,,24/7,Kanton Zug,,,,,,,
7579637109,node,47.1643519,8.5549942,yes,,,,,,,Vor Haupteingang,,,defibrillator,144,node/7579637109,yes,,,,,,Mo-Sa 08:00-18:00,,,,,,,,
7579637112,node,47.1951432,8.5272274,yes,,,,,,,Eingang West,,,defibrillator,144,node/7579637112,,,,,,,24/7,,,,,,,,
7579637113,node,47.1995798,8.5305933,yes,,,,,,,Eingang Turnhalle,,,defibrillator,144,node/7579637113,no,,,,,,24/7,,,,,,,,
7579637114,node,47.1909208,8.5262145,yes,,,,,,,Beim Haupteingang,,,defibrillator,144,node/7579637114,,,,,,,24/7,,,,,,,,
7579643485,node,47.1779517,8.5895561,yes,,,,,,,In Polizeidienststelle,,,defibrillator,144,node/7579643485,,,,,,,24/7,Kanton Zug,,,,,,,
7579649185,node,47.1749921,8.4266096,yes,,,,,,,"Gemeindeverwaltung, Chamerstrasse 11, Links vom Haupteingang",,,defibrillator,144,node/7579649185,no,,,,,,24/7,Gemeinde,,,,,,,
7579656557,node,47.1341002,8.4653494,yes,,,,,,,Schulhaus Risch,,,defibrillator,144,node/7579656557,,,,,,,24/7,,,,,,,,
7579656843,node,47.1381025,8.5772672,yes,,,,,,,In Polizeidienststelle,,,defibrillator,144,node/7579656843,no,,,,,,24/7,Kanton Zug,,,,,,,
7579656844,node,47.1323156,8.5862057,yes,,,,,,,Schulhaus Schönenbüel,,,defibrillator,144,node/7579656844,no,,,,,,24/7,Einwohnergemeinde Unterägeri,,,,,,,
7579656845,node,47.1383351,8.5816499,yes,,,,,,,Ägerihalle links bei Haupteingang,,,defibrillator,144,node/7579656845,no,,,,,,24/7,Einwohnergemeinde Unterägeri,,,,,,,
7579656846,node,47.1338046,8.5820181,yes,,,,,,,Clubhaus FC Aegeri,Ist infolge Ersatzneubau Clubhaus Ausser Betrieb,,defibrillator,144,node/7579656846,no,,,,,,,Einwohnergemeinde Unterägeri,,,,,,,
7579663109,node,47.1394618,8.4312327,yes,,,,,,,Schulhaus 2 - Neben dem Eingang,,,defibrillator,144,node/7579663109,no,,,,,,24/7,,,,,,,,
7579663110,node,47.1401142,8.4264989,yes,,,,,,,In Polizeidienststelle,,,defibrillator,144,node/7579663110,,,,,,,,Kanton Zug,,,,,,,
7579666737,node,47.1528997,8.4406014,yes,,,,,,2025-04-21,Bei Aussenzugang Keller,,,defibrillator,144,node/7579666737,no,,,,,,24/7,,,,,,,no,
7579685231,node,47.1348711,8.6117866,yes,,,,,,,Bei Kantonalbank,,,defibrillator,144,node/7579685231,,,,,,,24/7,Einwohnergemeinde Oberägeri,,,,,,,
7579685232,node,47.1360471,8.6136192,yes,,,,,,,Dreifachhalle/Musikschule Hofmatt,,,defibrillator,144,node/7579685232,,,,,,,24/7,Einwohnergemeinde Oberägeri,,,,,,,
7579685233,node,47.1358736,8.6091806,yes,,,,,,,im Gesundheitspunkt,,,defibrillator,144,node/7579685233,,,,,,,24/7,Einwohnergemeinde Oberägeri,,,,,,,
7579685234,node,47.1352736,8.6157594,yes,,,,,,,Mehrzweckanlage Maienmatt,,,defibrillator,144,node/7579685234,,,,,,,24/7,Einwohnergemeinde Oberägeri,,,,,,,
7579692882,node,47.1061328,8.6417876,yes,,,,,,,An der Aussenwand bei den Toiletten der Morgartenhütte,,,defibrillator,144,node/7579692882,,,,,,,24/7,Einwohnergemeinde Oberägeri,,,,,,,
7579692883,node,47.1103738,8.6428872,yes,,,,,,,Schulhaus Morgarten,,,defibrillator,144,node/7579692883,yes,,,,,,24/7,Einwohnergemeinde Oberägeri,,,,,,,
7579693163,node,47.1413377,8.6353546,yes,,,,,,,Mehrzweckgebäude Alosen,,,defibrillator,144,node/7579693163,,,,,,,24/7,Einwohnergemeinde Oberägeri,,,,,,,
7579716798,node,47.0932792,8.5199548,yes,,,,,,,"Seebad Walchwil, Artherstrasse 14",Beim Zugangstor zum Seebad,,defibrillator,144,node/7579716798,no,,,,,,24/7,"Einwohnergemeinde Walchwil, Dorfstrasse 23, 6318 Walchwil",,+41417598010,,,,,
7579716799,node,47.1223699,8.5198027,yes,,,,,,,"Sportplatz Lienisberg, Lienisberg 5",Öffentliche Toiletten / Ostseite,,defibrillator,144,node/7579716799,no,,,,,,24/7,"Einwohnergemeinde Walchwil, Dorfstrasse 23, 6318 Walchwil",,+41417598010,,,,,
7579716800,node,47.0987356,8.5168642,yes,,,,,,,"Bahnhof Walchwil, Bahnhofstrasse 3",Bei den Toiletten,,defibrillator,144,node/7579716800,,,,,,,24/7,"Einwohnergemeinde Walchwil, Dorfstrasse 23, 6318 Walchwil",,+41417598010,,,,,
7579716801,node,47.0988533,8.5156348,yes,,,,,,,"Gemeindesaal, Schulhausstrasse 44",Beim Haupteingang,,defibrillator,144,node/7579716801,no,,,,,,24/7,"Einwohnergemeinde Walchwil, Dorfstrasse 23, 6318 Walchwil",,+41417598010,,,,,
7579716802,node,47.100227,8.5132737,yes,,,,,,,"Gesundheitszentrum Walchwil, Dorfstrasse 4",Beim Haupteingang,,defibrillator,144,node/7579716802,no,,,,,,24/7,"Einwohnergemeinde Walchwil, Dorfstrasse 23, 6318 Walchwil",,+41417598010,,,,,
7721013381,node,47.1955322,8.5248797,yes,,,,,,,im Migros,nur während Öffnungszeiten verfügbar,,defibrillator,144,node/7721013381,,,,,,,,,,,,,,,
7721013382,node,47.1924556,8.5264957,yes,,,,,,,In Arztpraxis,nur während Öffnungszeiten verfügbar,,defibrillator,144,node/7721013382,,,,,,,,,,,,,,,
7721013383,node,47.1837772,8.518087,yes,,,,,,,In Arztpraxis,nur während Öffnungszeiten verfügbar,,defibrillator,144,node/7721013383,,,,,,,,,,,,,,,
7721023585,node,47.1960972,8.5234702,yes,,,,,,2026-03-31,In Arztpraxis,nur während Öffnungszeiten verfügbar,,defibrillator,144,node/7721023585,yes,,,,,,,,,,,,,,
7721023586,node,47.1958348,8.5355106,yes,,,,,,,In Arztpraxis,nur während Öffnungszeiten verfügbar,,defibrillator,144,node/7721023586,,,,,,,,,,,,,,,
7721023587,node,47.1963688,8.5209006,yes,,,,,,,In Arztpraxis,nur während Öffnungszeiten verfügbar,,defibrillator,144,node/7721023587,,,,,,,,,,,,,,,
7721023588,node,47.1950073,8.5263669,yes,,,,,,,bei den Theken Links,nur während Öffnungszeiten verfügbar,,defibrillator,144,node/7721023588,yes,,,,,,,,,,,,,,
7721023590,node,47.1970631,8.5226092,yes,,,,,,,Alterszentrum Bahnmatt,Vom Hausteingang links an den Toiletten vorbei und nach der Türe rechts an der Wand,,defibrillator,144,node/7721023590,yes,,0,,,,Mo-Su 08:00-20:00,Alterszentrum,,+41 41 769 89 89,,,,,
7721023591,node,47.194672,8.5224858,yes,,,,,,,Alterszentrum Martinspark,"Im Restaurant im Gartengeschoss, vom Haupteingang eine Etage tiefer, von Treppenhaustüre geradeaus bei Garderobe",,defibrillator,144,node/7721023591,yes,,-1,,,,Mo-Su 08:00-20:00,Alterszentrum,,+41 41 769 89 89,,,,,
7721023593,node,47.2011601,8.5403129,yes,,,,,,,Im Sanitätszimmer beim Badebeisterbüro / Indoors in life guard office,Während Öffnungszeiten verfügbar,,defibrillator,144,node/7721023593,,,0,,,,,,,,,,,limited,
7798131761,node,47.1433003,8.4325111,yes,,,,,,,Am Haus,gemäss Lageplan,,defibrillator,144,node/7798131761,no,,,,,,24/7,,,,,,,,
7798131762,node,47.1444996,8.4341959,yes,,,,,,,Am Haus,gemäss Lageplan,,defibrillator,144,node/7798131762,no,,,,,,24/7,,,,,,,,
7798131763,node,47.1444212,8.4382651,yes,,,,,,2024-10-27,Am Haus,gemäss Lageplan,,defibrillator,144,node/7798131763,no,,,,,,24/7,,,,,,,,
7798131764,node,47.1449131,8.436552,yes,,,,,,2024-10-27,Am Haus,gemäss Lageplan,,defibrillator,144,node/7798131764,no,,,,,,24/7,,,,,,,,
7928159872,node,47.2017504,8.4349895,yes,,,,,,,"""Aussenwand Eingang MZH""",,,defibrillator,144,node/7928159872,no,,0,,,,24/7,Einwohnergemeinde Cham,,,,,,,
7928159873,node,47.2127289,8.4522092,yes,,,,,,,Alte Käserei an der Hausfassade,,,defibrillator,144,node/7928159873,no,,0,,,,24/7,Einwohnergemeinde Cham,,,,,,,
7928159874,node,47.1825285,8.4612241,,,,,,,,Metzgerei in der Migros,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928159874,,,0,,,,,,,,,,,,
7928159878,node,47.1829277,8.4547278,,,,,,,,Beim Bademeister / Kiosk,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928159878,,,0,,,,,,,,,,,,
7928159879,node,47.1961318,8.4570587,,,,,,,,Im Stadion,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928159879,,,0,,,,,,,,,,,yes,
7928159880,node,47.1893989,8.4619739,,,,,,,,Im Reiterstübli,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928159880,,,0,,,,,,,,,,,yes,
7928159881,node,47.1806231,8.4582962,,,,,,,,Haupteingang rechts,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928159881,yes,,0,,Mandelhof,,,Einwohnergemeinde Cham,,,,,,yes,
7928159882,node,47.1810632,8.4579572,,,,,,,,Praxis Dr. Diiana Weinberger,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928159882,no,,0,,,,,,,,,,,yes,
7928159883,node,47.1799252,8.4572069,,,,,,,,Praxis Dr. Rolf Oetiker,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928159883,,,0,,,,,,,,,,,yes,
7928159884,node,47.1779781,8.4555365,,,,,,,,Praxis Dr. Urs Müller,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928159884,,,0,,,,,,,,,,,yes,
7928182485,node,47.1753563,8.4511605,,,,,,,,Prxis Dr. Rebmann,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928182485,,,0,,,,,,,,,,,yes,
7928182486,node,47.182132,8.4664316,,,,,,,,Praxis Mladen Misic,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928182486,,,0,,,,,,,,,,,yes,
7928182487,node,47.1808969,8.4557873,,,,,,,,Ärztehaus,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928182487,,,0,,,,,,,,,,,yes,
7928182488,node,47.1811576,8.4550524,,,,,,,,Andreasklinik,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928182488,,,0,,,,,,,,,,,yes,
7928182489,node,47.1789102,8.4576595,,,,,,,,Dr. Seiler,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928182489,yes,,0,,,,,,,,,,,yes,
7928182490,node,47.1789494,8.4577601,,,,,,,,Dr. Beat Muff,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928182490,yes,,0,,,,,,,,,,,yes,
7928182491,node,47.1772525,8.4538722,,,,,,,,Praxis Dr. Peter Gonschior,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928182491,,,0,,,,,,,,,,,yes,
7928182492,node,47.1850371,8.4558819,yes,,,,,,,"An der Wand des Feuerwehrgebäudes, beim Seiteneingang",,,defibrillator,144,node/7928182492,no,,0,,,,24/7,Gemeinde Cham,,,,,,no,
7928182493,node,47.1826798,8.4634752,yes,,,,,,05.07.2023,Aussenwand Turnhalle / Veloständer,,,defibrillator,144,node/7928182493,no,,0,,Turnhalle Städtli 1,,24/7,Einwohnergemeinde Cham,,,,,,yes,
7928182494,node,47.1807474,8.4598052,,,,,,,,Neben dem Eingang im Sanitätszimmer,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928182494,yes,,0,,Lorzensaal,,,Einwohnergemeinde Cham,,,,,,yes,
7928195409,node,47.1775906,8.4260472,yes,Hünnenberg,1,6331,Lindenpark,,,Beim Eingang links,Weisser Kasten,,defibrillator,144,node/7928195409,yes,,0,,,,Mo-Su 07:00-18:00,Lifetec AG,,+41 800 122 144,1615LTC,,,,
7928195410,node,47.1756608,8.4249003,,,,,,,,Arztpraxis Dr. Illi,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928195410,,,0,,,,,,,,,,,,
7928195411,node,47.1791667,8.4240405,,,,,,,,Arztpraxis Hürlimann/Hegglin,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928195411,,,0,,,,,,,,,,,,
7928195412,node,47.1698256,8.4525962,,,,,,,,"Eingang, Badi Hünenberg","Aussenwand, links vor Eingang",,defibrillator,144,node/7928195412,,,,,,,24/7,EWG Hünenberg,,,,,,,
7928195413,node,47.1733142,8.4310976,,,,,,,,"Im Feuerwehrdepot, Zentrumstrasse 12, in den Fahrzeugen Hüno 1 & 3",,,defibrillator,144,node/7928195413,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:00-17:00",Gemeinde,,+41417802521,,,,,
7928195414,node,47.1761968,8.4464049,yes,,,,,,,"Schulhaus Kemmatten, Huobstrasse 30, Links vom Eingang Ostseite",,,defibrillator,144,node/7928195414,no,,0,,,,24/7,Gemeinde,,,,,,,
7928195415,node,47.1773938,8.4472584,,,,,,,,"Eingang Primarschule, Schulhaus Eichmatt, West Seite","Aussenwand, links vor Aussentüre",,defibrillator,144,node/7928195415,,,0,,,,24/7,EWG Hünenberg,,,,,,,
7928195416,node,47.1808896,8.426802,yes,,,,,,,"Schulhaus Rony, Lindenbergstrasse 25, Rechts vom Haupteingang",,,defibrillator,144,node/7928195416,no,,0,,,,24/7,Gemeinde,,,,,,,
7928195417,node,47.1733526,8.4300502,yes,,,,,,,"Dreifachturnhalle, Zentrumstrasse 10, Rechts vom Haupteingang",,,defibrillator,144,node/7928195417,no,,0,,,,24/7,Gemeinde,,,,,,,
7928195418,node,47.1743761,8.4278222,yes,,,,,,,"""Saal Heinrich von Hünenberg"", Zentrumstrasse 1, Rechts vom Haupteingang",,,defibrillator,144,node/7928195418,no,,0,,,,24/7,Gemeinde,,,,,,,
7928215767,node,47.2015117,8.5719055,,,,,,,,Feuerwehr,,,defibrillator,144,node/7928215767,,,0,,,,,,,,,,,,
7928222742,node,47.1805578,8.5848123,yes,,,,,,,Pflegeheim Kloster,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222742,yes,,0,,,,,Institut Menzingen Pflegeheim St. Franziskus,,+41 41 757 44 44,,,,,
7928222743,node,47.1824355,8.5851046,,,,,,,,Eingangsbereich kleine Sporthalle,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222743,,,0,,,,,Hochbauamt des Kantons Zug,,+41 41 728 54 00,,,,,
7928222744,node,47.1820655,8.5858852,,,,,,,,Mensa,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222744,,,0,,,,,Hochbauamt des Kantons Zug,,+41 41 728 54 00,,,,,
7928222746,node,47.178805,8.5910806,yes,,,,,,,Ärztezentrum Menzingen,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222746,yes,,0,,,,,Ärztezentrum Menzingen,,+41 41 757 20 20,,,,,
7928222747,node,47.1776873,8.5912389,yes,,,,,,,"Para-Medical Center""van de Veen""",während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222747,yes,,0,,,,,"Para-Medical Center ""Van de Veen""",,+41 41 755 11 39,,,,,
7928222749,node,47.1787945,8.5899124,yes,,,,,drinking_water,,"Hintereingang Kirche, Vorzeichen, Aufgang",,,defibrillator,144,node/7928222749,yes,,0,,,,Mo-Fr 07:00-19:00,Kirchengemeinde Menzingen,,+41 41 757 00 80,,,,,
7928222750,node,47.1736515,8.6020401,permissive,,,,,,,Büro Ökihof,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222750,yes,,0,,,,,Gemeinde Menzingen,,+41 41 757 22 03,,,,,
7928222751,node,47.1673038,8.6303046,yes,,,,,,,Haupteingang Schulhaus,,,defibrillator,144,node/7928222751,no,,0,,,,24/7,Gemeinde Menzingen,,+41 41 757 22 03,,,,,
7930220201,node,47.1341367,8.6133134,yes,,,,,,,Gesundheitszentrum,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930220201,,,,,,,,,,,,,,,
7930220203,node,47.1549274,8.652522,yes,,,,,,,an Aussenfassade des Restaurants/Lagerhauses,,,defibrillator,144,node/7930220203,no,,0,,,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,limited,
7930220204,node,47.1356128,8.6144587,yes,,,,,,,Feuerwehr,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930220204,,,,,,,,,,,,,,,
7930220205,node,47.1348757,8.6151615,yes,,,,,,,Rathaus,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930220205,,,,,,,,,,,,,,,
7930264284,node,47.1408365,8.4403914,yes,,,,,,,Im Armeeverteilzentrum,während Arbeitszeit verfügbar,,defibrillator,144,node/7930264284,,,,,,,,,,,,,,,
7930278085,node,47.1413081,8.4287426,yes,,,,,,,Infoschalter,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930278085,,,,,,,,,,,,,,,
7930278086,node,47.1508334,8.4345388,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278086,,,,,,,,,,,,,,,
7930278087,node,47.1503008,8.433702,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278087,,,,,,,,,,,,,,,
7930278088,node,47.1497134,8.4338736,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278088,,,,,,,,,,,,,,,
7930278089,node,47.1492756,8.4334606,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278089,,,,,,,,,,,,,,,
7930278090,node,47.1491771,8.4327149,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278090,,,,,,,,,,,,,,,
7930278091,node,47.1493887,8.4321731,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278091,,,,,,,,,,,,,,,
7930278092,node,47.1501585,8.4326988,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278092,,,,,,,,,,,,,,,
7930278093,node,47.1502351,8.4315562,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278093,,,,,,,,,,,,,,,
7930278094,node,47.1505051,8.4307086,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278094,,,,,,,,,,,,,,,
7930278095,node,47.1497864,8.4309071,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278095,,,,,,,,,,,,,,,
7930278096,node,47.1433495,8.4274364,yes,,,,,,,Arztpraxis Schöngrund,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930278096,,,,,,,,,,,,,,,
7930278097,node,47.1401947,8.4266397,yes,,,,,,,Praxis Dr. Wolf / Seibl,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930278097,,,,,,,,,,,,,,,
7930278098,node,47.1419061,8.4333142,yes,,,,,,,EG- An der Hausmauer beim Skaterpark.,,,defibrillator,144,node/7930278098,no,,,,,,24/7,,,,,,,,
7930278099,node,47.1414111,8.4317762,yes,,,,,,,Im Zentrum Dorfmatt,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930278099,yes,,,,,,,,,,,,,yes,
